duration_ms,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
334840,1989,0.14,0.567,0.341,3.16e-06,0.0833,-14.787,0.0397,73.478,0.463,29
115133,1999,0.0202,0.352,0.974,0.0,0.178,-3.173,0.0435,154.695,0.73,34
161640,1973,0.0111,0.464,0.972,1.47e-06,0.818,-6.887,0.0553,95.407,0.91,26
181728,2017,0.217,0.372,0.656,0.0,0.418,-6.086,0.0776,140.171,0.15,72
161253,1936,0.992,0.34,0.0975,0.793,0.388,-21.17,0.0514,87.043,0.0785,0
140182,2017,0.0716,0.784,0.94,0.000171,0.133,-7.327,0.054,137.003,0.979,61
265149,1999,0.0704,0.778,0.52,0.00035,0.361,-8.535,0.0497,140.029,0.689,38
205373,2002,0.0683,0.673,0.841,0.0,0.0965,-3.564,0.0557,97.027,0.94,68
168345,1944,0.991,0.466,0.638,0.107,0.73,-11.589,0.483,87.531,0.352,0
209573,1989,0.339,0.611,0.813,0.898,0.224,-7.689,0.0279,140.112,0.821,43
149333,1956,0.991,0.346,0.218,0.924,0.111,-19.162,0.0333,97.41,0.255,9
133224,1933,0.718,0.576,0.702,0.0144,0.0924,-9.287,0.11,128.009,0.83,0
194707,1967,0.663,0.629,0.233,0.0,0.277,-13.291,0.0395,134.113,0.639,31
213707,1940,0.987,0.38,0.342,0.017,0.274,-8.964,0.044,68.665,0.343,0
159533,1967,0.00242,0.501,0.579,2.23e-05,0.11,-10.217,0.0328,117.505,0.579,38
297427,2010,6.35e-06,0.282,0.97,0.358,0.385,-4.086,0.18,200.005,0.0391,47
92240,1951,0.993,0.632,0.299,0.0876,0.114,-14.156,0.0987,128.979,0.728,0
220907,1982,0.22,0.814,0.964,1.77e-05,0.214,-7.538,0.0797,110.904,0.349,46
282067,1993,0.000465,0.284,0.719,0.382,0.24,-10.739,0.0506,141.539,0.289,45
290940,1935,0.99,0.375,0.161,0.495,0.32,-13.58,0.0424,121.921,0.454,16
283133,1946,0.993,0.183,0.117,0.88,0.16,-24.493,0.0389,71.021,0.307,6
174933,1969,0.575,0.693,0.687,0.0,0.398,-12.909,0.0973,108.854,0.699,55
322013,1956,0.792,0.528,0.459,0.0964,0.102,-8.593,0.057,81.436,0.426,20
250693,2002,0.0354,0.905,0.945,0.00529,0.0707,-2.63,0.137,131.597,0.944,53
270333,1993,0.244,0.565,0.487,0.0,0.134,-10.706,0.0556,161.812,0.444,35
242760,2011,0.608,0.819,0.32,0.0,0.0545,-9.343,0.0746,140.068,0.772,53
216907,2014,0.0847,0.598,0.569,0.0,0.206,-5.792,0.0263,135.995,0.351,54
193800,1985,0.012,0.35,0.957,5.07e-05,0.0872,-5.443,0.0634,189.078,0.64,46
207653,1950,0.992,0.507,0.278,0.157,0.122,-9.55,0.0468,98.775,0.75,0
273440,1968,0.339,0.44,0.562,0.486,0.0668,-12.414,0.0275,128.903,0.371,24
175569,2019,0.00202,0.695,0.566,0.0,0.167,-7.484,0.124,80.029,0.388,74
333947,1983,0.296,0.51,0.958,0.385,0.216,-6.537,0.0569,116.498,0.511,35
143893,1943,0.937,0.528,0.512,1.76e-05,0.227,-14.278,0.62,112.865,0.376,7
169827,1976,0.879,0.551,0.381,0.0403,0.2,-11.62,0.0372,90.502,0.815,25
37239,1949,0.386,0.564,0.257,0.0,0.175,-20.319,0.677,174.948,0.327,0
179467,1987,0.371,0.532,0.904,3.49e-05,0.144,-8.252,0.101,110.242,0.372,31
109693,1994,0.273,0.535,0.336,0.0132,0.245,-13.278,0.0335,115.082,0.41,37
218373,2011,0.0576,0.591,0.866,0.0,0.146,-2.877,0.0536,86.981,0.508,56
243467,1998,0.0118,0.63,0.338,5.82e-06,0.0855,-7.291,0.0277,107.961,0.154,35
154973,1932,0.923,0.614,0.28,0.918,0.0944,-13.556,0.0701,197.581,0.964,3
281947,1983,0.0177,0.847,0.627,0.00184,0.105,-10.933,0.0326,109.204,0.965,28
195837,1999,0.634,0.73,0.34,0.0,0.131,-8.42,0.0413,96.504,0.944,50
206213,1999,0.537,0.476,0.349,0.0,0.0805,-11.635,0.0275,138.085,0.316,53
369293,1998,0.127,0.41,0.601,0.0,0.112,-10.714,0.504,173.273,0.516,61
186240,1945,0.994,0.524,0.0989,0.0803,0.123,-18.857,0.0333,110.755,0.424,5
254068,1969,0.0797,0.381,0.734,0.0469,0.173,-8.917,0.0933,96.614,0.565,49
163893,2005,0.00406,0.616,0.921,2.36e-05,0.343,-5.299,0.0788,122.933,0.468,43
196493,2012,0.218,0.41,0.591,0.0,0.0895,-8.089,0.0978,129.425,0.215,45
351627,1995,0.0057,0.314,0.797,5.59e-05,0.0718,-9.026,0.038,145.393,0.569,69
187360,2006,0.0132,0.541,0.91,0.0,0.578,-3.879,0.0639,127.099,0.493,51
315240,1996,0.409,0.537,0.374,0.0,0.0935,-10.16,0.0339,179.719,0.372,32
199070,1947,0.994,0.589,0.0867,0.734,0.492,-15.383,0.136,145.082,0.631,0
128093,1959,0.812,0.652,0.365,0.0,0.305,-12.338,0.245,98.361,0.723,30
179507,1930,0.986,0.594,0.16,4.03e-05,0.308,-12.437,0.077,116.897,0.529,0
144400,1964,0.613,0.354,0.29,1.71e-06,0.37,-13.233,0.0359,181.22,0.462,14
147053,2014,0.722,0.757,0.512,1.23e-06,0.0682,-6.249,0.0516,149.888,0.97,68
169333,1969,0.087,0.596,0.676,0.000881,0.103,-11.273,0.0332,109.805,0.865,27
409027,1996,0.378,0.596,0.437,1.52e-05,0.139,-11.855,0.0337,108.721,0.446,48
220933,2012,0.193,0.528,0.878,0.000191,0.369,-5.173,0.072,165.984,0.772,44
106107,1952,0.802,0.379,0.331,5.83e-06,0.212,-11.384,0.0484,156.618,0.481,1
162333,1961,0.779,0.518,0.25,0.0,0.261,-10.138,0.033,119.068,0.63,16
183427,1976,0.114,0.638,0.617,0.000229,0.0812,-8.023,0.0431,83.339,0.628,31
76547,1949,0.858,0.572,0.347,0.0,0.11,-15.563,0.311,100.079,0.904,0
222067,1951,0.965,0.473,0.135,0.0,0.467,-15.912,0.178,71.531,0.211,0
436400,1985,0.00172,0.277,0.941,0.0627,0.979,-5.5,0.158,130.723,0.237,31
128319,1952,0.548,0.731,0.221,0.0,0.184,-18.606,0.958,50.47,0.327,1
180693,1967,0.0644,0.617,0.577,0.00157,0.106,-5.71,0.0388,112.921,0.627,41
104120,2010,0.00166,0.54,0.635,0.788,0.209,-10.071,0.0519,119.995,0.126,54
130320,1964,0.809,0.596,0.414,0.925,0.0934,-13.18,0.046,87.152,0.686,14
227787,1996,0.236,0.837,0.337,2.12e-06,0.114,-10.713,0.0441,120.475,0.606,38
157707,1971,0.555,0.55,0.563,0.436,0.0642,-9.714,0.0353,144.941,0.801,43
161933,1967,0.95,0.656,0.109,0.372,0.0913,-16.9,0.0393,107.23,0.632,22
224287,1942,0.0194,0.564,0.416,9.72e-06,0.063,-14.115,0.043,177.766,0.675,1
203693,1952,0.803,0.496,0.298,0.0,0.49,-10.584,0.195,96.161,0.562,0
159947,1972,0.783,0.672,0.444,0.0,0.103,-9.805,0.0299,112.589,0.651,46
222467,2015,0.0705,0.586,0.525,0.0,0.0729,-8.968,0.498,126.51,0.491,68
398373,1978,0.246,0.657,0.534,0.00122,0.12,-10.291,0.0423,105.614,0.75,26
145864,1945,0.0986,0.741,0.178,0.0,0.0565,-20.378,0.887,100.291,0.706,0
200160,1990,0.632,0.488,0.189,1.28e-05,0.105,-14.479,0.0288,71.39,0.194,34
349960,1990,0.449,0.439,0.366,0.0,0.0809,-10.823,0.0287,111.086,0.176,33
213713,1973,0.946,0.228,0.224,0.000222,0.273,-12.749,0.0311,60.3,0.18,68
588907,1974,0.994,0.283,0.223,0.911,0.136,-20.494,0.0605,88.331,0.393,27
154627,2014,0.41,0.942,0.586,4.56e-05,0.129,-3.74,0.0587,120.064,0.932,47
166173,2000,0.00126,0.315,0.971,0.000296,0.0735,-5.076,0.0989,88.682,0.728,34
342160,1989,0.0293,0.689,0.452,0.253,0.0672,-12.927,0.0408,152.814,0.697,51
167553,2018,0.465,0.745,0.561,1.12e-06,0.0338,-5.513,0.072,195.918,0.902,79
248867,1976,0.0988,0.541,0.67,0.156,0.299,-10.914,0.0323,165.22,0.965,35
277133,1977,0.528,0.484,0.53,3.3e-05,0.0868,-7.932,0.0259,71.469,0.587,38
327000,1997,0.358,0.571,0.682,0.0,0.854,-8.061,0.132,158.123,0.82,39
199253,2010,0.0192,0.576,0.94,0.0,0.133,-3.003,0.118,97.876,0.844,59
172987,1939,0.987,0.395,0.0984,0.945,0.106,-15.669,0.0451,135.296,0.178,0
106550,1945,0.296,0.633,0.244,0.000104,0.0872,-20.514,0.959,166.076,0.592,0
219133,2006,0.211,0.586,0.818,0.0,0.0967,-6.207,0.0404,137.771,0.736,44
109507,1951,0.902,0.61,0.193,0.778,0.158,-16.716,0.0662,155.473,0.62,0
189640,1992,0.839,0.458,0.319,1.79e-06,0.0876,-8.505,0.0398,86.945,0.482,57
408840,1998,0.0729,0.382,0.603,0.0328,0.159,-14.23,0.0346,143.419,0.776,36
